Metric,Value
number_features,15.0
num_edge_features,8.0
initial_dim_gcn ,15.0
edge_dim_feature,8.0
hidden_dim_nn_1 ,500.0
p1 ,0.0
hidden_dim_nn_2 ,250.0
p2 ,0.0
hidden_dim_nn_3 ,100.0
p3 ,0.0
hidden_dim_gat_0,20.0
hidden_dim_gat_1,0.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,80.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.3345618186687638
r_train,0.5869272672775617
mae_train,1689.6113409061854
rmse_train,2370.150232389698
r2_validation,0.26999844608642076
r_validation,0.5221063602313167
mae_validation,1736.9409916771967
rmse_validation,2465.050333383452
time_preprocessing,0.0
time_training,182.6388780315717
time_prediction,0.894427490234375
total_time,183.5443294564883
